operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcShortQuery7MessageReplies|1648753959885|1648753959885|7|0|-1
LdbcShortQuery1PersonProfile|1648753959892|1648753959893|3|1|-1
LdbcShortQuery2PersonPosts|1648753959896|1648753959896|4|10|-1
LdbcShortQuery3PersonFriends|1648753959900|1648753959900|4|33|-1
LdbcShortQuery4MessageContent|1648753959904|1648753959904|3|1|-1
LdbcShortQuery5MessageCreator|1648753959907|1648753959908|3|1|-1
LdbcShortQuery6MessageForum|1648753959911|1648753959911|3|1|-1
LdbcShortQuery7MessageReplies|1648753959914|1648753959915|3|0|-1
LdbcQuery13|1648753956556|1648753959918|26|1|1290688798079
LdbcShortQuery1PersonProfile|1648753959944|1648753959945|3|1|-1
LdbcShortQuery2PersonPosts|1648753959948|1648753959948|3|10|-1
LdbcShortQuery3PersonFriends|1648753959951|1648753959952|3|33|-1
LdbcShortQuery4MessageContent|1648753959955|1648753959956|3|1|-1
LdbcShortQuery5MessageCreator|1648753959959|1648753959959|3|1|-1
LdbcShortQuery6MessageForum|1648753959962|1648753959962|3|1|-1
LdbcShortQuery7MessageReplies|1648753959965|1648753959966|4|0|-1
